Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login
2009-1-2 6:17,Product1,1200,Mastercard,carolina,Basildon,England,United Kingdom,2009-1-2 6:00,2009-1-2 6:08
2009-1-2 4:53,Product1,1200,Visa,Betina,Parkville                   ,MO,United States,2009-1-2 4:42,2009-1-2 7:49
2009-1-2 13:08,Product1,1200,Mastercard,Federica e Andrea,Astoria                     ,OR,United States,2009-1-1 16:21,2009-1-3 12:32
2009-1-3 14:44,Product1,1200,Visa,Gouya,Echuca,Victoria,Australia,2005-9-25 21:13,2009-1-3 14:22
2009-1-4 12:56,Product2,3600,Visa,Gerd W ,Cahaba Heights              ,AL,United States,2008-11-15 15:47,2009-1-4 12:45
2009-1-4 13:19,Product1,1200,Visa,LAURENCE,Mickleton                   ,NJ,United States,2008-9-24 15:19,2009-1-4 13:04
2009-1-4 20:11,Product1,1200,Mastercard,Fleur,Peoria                      ,IL,United States,2009-1-3 9:38,2009-1-4 19:45
2009-1-2 20:09,Product1,1200,Mastercard,adam,Martin                      ,TN,United States,2009-1-2 17:43,2009-1-4 20:01
2009-1-4 13:17,Product1,1200,Mastercard,Renee Elisabeth,Tel Aviv,Tel Aviv,Israel,2009-1-4 13:03,2009-1-4 22:10
2009-1-4 14:11,Product1,1200,Visa,Aidan,Chatou,Ile-de-France,France,2008-6-3 4:22,2009-1-5 1:17
2009-1-5 2:42,Product1,1200,Diners,Stacy,New York                    ,NY,United States,2009-1-5 2:23,2009-1-5 4:59
2009-1-5 5:39,Product1,1200,Amex,Heidi,Eindhoven,Noord-Brabant,Netherlands,2009-1-5 4:55,2009-1-5 8:15
2009-1-2 9:16,Product1,1200,Mastercard,Sean ,Shavano Park                ,TX,United States,2009-1-2 8:32,2009-1-5 9:05
2009-1-5 10:08,Product1,1200,Visa,Georgia,Eagle                       ,ID,United States,2008-11-11 15:53,2009-1-5 10:05
2009-1-2 14:18,Product1,1200,Visa,Richard,Riverside                   ,NJ,United States,2008-12-9 12:07,2009-1-5 11:01
2009-1-4 1:05,Product1,1200,Diners,Leanne,Julianstown,Meath,Ireland,2009-1-4 0:00,2009-1-5 13:36
2009-1-5 11:37,Product1,1200,Visa,Janet,Ottawa,Ontario,Canada,2009-1-5 9:35,2009-1-5 19:24
